price_paid,deed_date,postcode,paon,street,town,district,dataset,tag
308274,2012-01-01,,,,London,lambeth,dataset,lambeth average
313346,2012-02-01,,,,London,lambeth,dataset,lambeth average
314537,2012-03-01,,,,London,lambeth,dataset,lambeth average
318902,2012-04-01,,,,London,lambeth,dataset,lambeth average
323925,2012-05-01,,,,London,lambeth,dataset,lambeth average
333273,2012-06-01,,,,London,lambeth,dataset,lambeth average
335266,2012-07-01,,,,London,lambeth,dataset,lambeth average
338402,2012-08-01,,,,London,lambeth,dataset,lambeth average
334410,2012-09-01,,,,London,lambeth,dataset,lambeth average
338429,2012-10-01,,,,London,lambeth,dataset,lambeth average
334410,2012-11-01,,,,London,lambeth,dataset,lambeth average
336416,2012-12-01,,,,London,lambeth,dataset,lambeth average
331660,2013-01-01,,,,London,lambeth,dataset,lambeth average
340893,2013-02-01,,,,London,lambeth,dataset,lambeth average
346215,2013-03-01,,,,London,lambeth,dataset,lambeth average
351136,2013-04-01,,,,London,lambeth,dataset,lambeth average
346608,2013-05-01,,,,London,lambeth,dataset,lambeth average
351150,2013-06-01,,,,London,lambeth,dataset,lambeth average
361265,2013-07-01,,,,London,lambeth,dataset,lambeth average
367315,2013-08-01,,,,London,lambeth,dataset,lambeth average
377423,2013-09-01,,,,London,lambeth,dataset,lambeth average
387491,2013-10-01,,,,London,lambeth,dataset,lambeth average
394045,2013-11-01,,,,London,lambeth,dataset,lambeth average
400387,2013-12-01,,,,London,lambeth,dataset,lambeth average
395104,2014-01-01,,,,London,lambeth,dataset,lambeth average
406243,2014-02-01,,,,London,lambeth,dataset,lambeth average
401811,2014-03-01,,,,London,lambeth,dataset,lambeth average
413723,2014-04-01,,,,London,lambeth,dataset,lambeth average
423948,2014-05-01,,,,London,lambeth,dataset,lambeth average
435515,2014-06-01,,,,London,lambeth,dataset,lambeth average
446019,2014-07-01,,,,London,lambeth,dataset,lambeth average
449302,2014-08-01,,,,London,lambeth,dataset,lambeth average
462535,2014-09-01,,,,London,lambeth,dataset,lambeth average
463981,2014-10-01,,,,London,lambeth,dataset,lambeth average
457791,2014-11-01,,,,London,lambeth,dataset,lambeth average
447526,2014-12-01,,,,London,lambeth,dataset,lambeth average
441235,2015-01-01,,,,London,lambeth,dataset,lambeth average
438618,2015-02-01,,,,London,lambeth,dataset,lambeth average
443179,2015-03-01,,,,London,lambeth,dataset,lambeth average
445243,2015-04-01,,,,London,lambeth,dataset,lambeth average
459887,2015-05-01,,,,London,lambeth,dataset,lambeth average
467797,2015-06-01,,,,London,lambeth,dataset,lambeth average
484640,2015-07-01,,,,London,lambeth,dataset,lambeth average
499510,2015-08-01,,,,London,lambeth,dataset,lambeth average
508248,2015-09-01,,,,London,lambeth,dataset,lambeth average
499211,2015-10-01,,,,London,lambeth,dataset,lambeth average
487265,2015-11-01,,,,London,lambeth,dataset,lambeth average
484535,2015-12-01,,,,London,lambeth,dataset,lambeth average
491178,2016-01-01,,,,London,lambeth,dataset,lambeth average
501992,2016-02-01,,,,London,lambeth,dataset,lambeth average
512536,2016-03-01,,,,London,lambeth,dataset,lambeth average
514092,2016-04-01,,,,London,lambeth,dataset,lambeth average
510867,2016-05-01,,,,London,lambeth,dataset,lambeth average
509850,2016-06-01,,,,London,lambeth,dataset,lambeth average
522676,2016-07-01,,,,London,lambeth,dataset,lambeth average
529867,2016-08-01,,,,London,lambeth,dataset,lambeth average
530361,2016-09-01,,,,London,lambeth,dataset,lambeth average
521630,2016-10-01,,,,London,lambeth,dataset,lambeth average
517641,2016-11-01,,,,London,lambeth,dataset,lambeth average
512058,2016-12-01,,,,London,lambeth,dataset,lambeth average
509710,2017-01-01,,,,London,lambeth,dataset,lambeth average
506451,2017-02-01,,,,London,lambeth,dataset,lambeth average
503506,2017-03-01,,,,London,lambeth,dataset,lambeth average
502913,2017-04-01,,,,London,lambeth,dataset,lambeth average
510549,2017-05-01,,,,London,lambeth,dataset,lambeth average
522510,2017-06-01,,,,London,lambeth,dataset,lambeth average
532281,2017-07-01,,,,London,lambeth,dataset,lambeth average
533469,2017-08-01,,,,London,lambeth,dataset,lambeth average
531074,2017-09-01,,,,London,lambeth,dataset,lambeth average
521819,2017-10-01,,,,London,lambeth,dataset,lambeth average
518991,2017-11-01,,,,London,lambeth,dataset,lambeth average
515919,2017-12-01,,,,London,lambeth,dataset,lambeth average
300000,2015-01-01,,21,BODLEY MANOR WAY,LONDON,LAMBETH,RICS,1 bed
275000,2015-01-15,,31,SCARLETTE MANOR WAY,LONDON,LAMBETH,RICS,1 bed
360000,2015-01-30,,13,HARDEL WALK,LONDON,LAMBETH,RICS,2 bed
375000,2015-02-15,,35,HARDEL WALK,LONDON,LAMBETH,RICS,2 bed
375000,2015-02-28,,47,HARDEL WALK,LONDON,LAMBETH,RICS,2 bed
375000,2015-03-15,,70,HARDEL WALK,LONDON,LAMBETH,RICS,3 bed
365000,2015-03-30,,82,HARDEL WALK,LONDON,LAMBETH,RICS,3 bed
404114,2019-01-01,,21,BODLEY MANOR WAY,LONDON,1BED-LAMBETH,NEW-BUILD,1 bed
445536,2021-01-01,,21,BODLEY MANOR WAY,LONDON,1BED-LAMBETH,NEW-BUILD,1 bed
491203,2023-01-01,,21,BODLEY MANOR WAY,LONDON,1BED-LAMBETH,NEW-BUILD,1 bed
565759,2019-02-01,,47,HARDEL WALK,LONDON,2BED-LAMBETH,NEW-BUILD,2 bed
